HIP,VMAG,RA_DEG,DEC_DEG
 20825, 5.74,66.94184598,-62.52121428
 15371, 5.24,49.54640411,-62.50793537
 47854, 3.69,146.31178147,-62.50792328
  3489, 6.06,11.13134786,-62.49760602
 26069, 3.76,83.40631813,-62.48985585
 57175, 5.00,175.87999922,-62.48939856
 19780, 3.33,63.60596306,-62.47397888
 58326, 5.59,179.41682551,-62.44873578
102962, 5.67,312.91001311,-62.42921513
 54301, 4.62,166.6353096,-62.42413654
 45856, 4.79,140.23679302,-62.40463293
 73118, 6.39,224.15978648,-62.36440739
 45101, 3.96,137.81986611,-62.31701587
   798, 6.34,2.46706528,-62.29683686
 90797, 4.63,277.84344394,-62.27819116
 46482, 5.91,142.19660989,-62.2732034
 49642, 6.45,151.98598839,-62.22143545
 19805, 5.45,63.7022883,-62.19204942
 92609, 4.22,283.05431892,-62.18756062
 18744, 4.48,60.2241876,-62.15936923
 49223, 6.41,150.70592901,-62.15667622
 28991, 5.04,91.76401174,-62.15441128
 56986, 4.93,175.22355273,-62.09010401
 21479, 5.59,69.1903235,-62.07698129
 89042, 5.47,272.60941453,-62.00276787
114948, 5.64,349.23945138,-62.00113447
111310, 4.91,338.2500526,-61.982073
 46225, 5.77,141.36407358,-61.95061204
 54461, 5.11,167.14169012,-61.94717969
 32607, 3.24,102.04807134,-61.94197988
108195, 5.92,328.79724631,-61.88638824
 49281, 6.14,150.89224818,-61.88405008
 31068, 6.15,97.7943764,-61.87957075
 61443, 6.22,188.87410771,-61.84139792
 53334, 5.95,163.6233225,-61.82661289
 56754, 5.15,174.53071631,-61.82655484
 60861, 6.21,187.10712453,-61.79483117
  5268, 5.36,16.82738598,-61.77526197
 74470, 6.27,228.25428258,-61.74376411
 87264, 6.41,267.47086372,-61.71465892
 51576, 3.30,158.0061825,-61.68536031
 66438, 5.63,204.30083723,-61.69157197
112603, 6.36,342.08872969,-61.68435601
 83984, 6.37,257.52616256,-61.67544103
 50067, 6.42,153.3383312,-61.65883585
 46101, 5.99,141.02289906,-61.64878694
 80874, 5.19,247.70572277,-61.63348127
  9236, 2.86,29.69113269,-61.56992444
 31711, 6.15,99.50176847,-61.53356388
101773, 4.86,309.39683225,-61.52974415
 90098, 4.35,275.80675239,-61.49390506
 68413, 6.49,210.07279016,-61.48094266
 74273, 6.29,227.68737266,-61.4222927
 18597, 4.56,59.68640623,-61.40015059
 51461, 6.41,157.66351149,-61.35650693
 74552, 6.36,228.49663305,-61.34292666
 50371, 3.39,154.27085535,-61.33231977
 47391, 4.51,144.83767061,-61.32810523
 53701, 6.16,164.80852435,-61.32074411
 56656, 5.14,174.25334034,-61.28344643
 39903, 4.74,122.25357658,-61.3017058
 56550, 6.23,173.92643343,-61.28787407
